group_id,role,id,label,origin,center_x,center_y,window_size,median_r,median_g,median_b,linear_r,linear_g,linear_b,relative_luminance,note
"orange-heading-on-paper","foregroundRaw11","orange-raw-edge","橙色小标题边缘 11×11","top-left","1432","990","11","247","238","221","0.9301","0.8550","0.7231","0.8614","标题左边缘；11×11 被纸色主导。"
"orange-heading-on-paper","foregroundGlyphInterior","orange-glyph-left","橙色小标题字形内部 1","top-left","1432","982","3","186","103","83","0.4910","0.1356","0.0865","0.2076","3×3 glyph interior，用于避免 11×11 被背景吞掉。"
"orange-heading-on-paper","foregroundGlyphInterior","orange-glyph-mid","橙色小标题字形内部 2","top-left","1486","982","3","181","90","71","0.4621","0.1022","0.0630","0.1759","3×3 glyph interior。"
"orange-heading-on-paper","foregroundGlyphInterior","orange-glyph-right","橙色小标题字形内部 3","top-left","1495","982","3","181","90","71","0.4621","0.1022","0.0630","0.1759","3×3 glyph interior。"
"orange-heading-on-paper","background11","orange-bg-above","橙色小标题上方纸色背景 11×11","top-left","1448","958","11","247","238","221","0.9301","0.8550","0.7231","0.8614","标题上方背景。"
"orange-heading-on-paper","background11","orange-bg-right","橙色小标题右侧纸色背景 11×11","top-left","1560","990","11","247","238","221","0.9301","0.8550","0.7231","0.8614","标题右侧背景。"
"orange-heading-on-paper","background11","orange-bg-below","橙色小标题下方纸色背景 11×11","top-left","1450","1018","11","247","238","221","0.9301","0.8550","0.7231","0.8614","标题下方背景。"
"orange-heading-on-paper","boundary11","orange-boundary-top","橙色小标题上边缘邻近边界 11×11","top-left","1454","980","11","247","238","221","0.9301","0.8550","0.7231","0.8614","标题边缘区域；中位数可能被纸色主导。"
"orange-heading-on-paper","boundary11","orange-boundary-left","橙色小标题左边缘邻近边界 11×11","top-left","1432","990","11","247","238","221","0.9301","0.8550","0.7231","0.8614","标题左边缘区域。"
"orange-heading-on-paper","boundary11","orange-boundary-right","橙色小标题右边缘邻近边界 11×11","top-left","1523","982","11","247","238","221","0.9301","0.8550","0.7231","0.8614","标题右边缘区域。"
"input-placeholder-low-contrast","foregroundRaw11","placeholder-raw-left","输入框占位文字问字 11×11","top-left","1416","1481","11","248","241","225","0.9387","0.8796","0.7529","0.8830","占位文字太细，11×11 中位数会接近背景。"
"input-placeholder-low-contrast","foregroundRaw11","placeholder-raw-mid","输入框占位文字课程字 11×11","top-left","1508","1477","11","188","182","171","0.5029","0.4678","0.4072","0.4709","占位文字太细，11×11 中位数会接近背景。"
"input-placeholder-low-contrast","foregroundRaw11","placeholder-raw-right","输入框占位文字材料字 11×11","top-left","1558","1481","11","218","212","198","0.7011","0.6584","0.5647","0.6607","占位文字太细，11×11 中位数会接近背景。"
"input-placeholder-low-contrast","foregroundGlyphInterior","placeholder-glyph-left","输入框占位文字字形内部 1","top-left","1416","1481","3","188","182","171","0.5029","0.4678","0.4072","0.4709","11×11 被背景吞掉，改用 3×3 glyph interior。"
"input-placeholder-low-contrast","foregroundGlyphInterior","placeholder-glyph-mid","输入框占位文字字形内部 2","top-left","1508","1477","3","188","182","171","0.5029","0.4678","0.4072","0.4709","11×11 被背景吞掉，改用 3×3 glyph interior。"
"input-placeholder-low-contrast","foregroundGlyphInterior","placeholder-glyph-right","输入框占位文字字形内部 3","top-left","1558","1481","3","188","182","171","0.5029","0.4678","0.4072","0.4709","11×11 被背景吞掉，改用 3×3 glyph interior。"
"input-placeholder-low-contrast","background11","placeholder-bg-left","输入框内部底色背景 11×11","top-left","1450","1460","11","249","242","226","0.9473","0.8879","0.7605","0.8913","输入框内部无字底色。"
"input-placeholder-low-contrast","background11","placeholder-bg-mid","输入框内部底色背景 11×11","top-left","1650","1460","11","249","242","226","0.9473","0.8879","0.7605","0.8913","输入框内部无字底色。"
"input-placeholder-low-contrast","background11","placeholder-bg-right","输入框内部底色背景 11×11","top-left","1830","1446","11","249","242","226","0.9473","0.8879","0.7605","0.8913","输入框内部无字底色。"
"input-placeholder-low-contrast","boundary11","placeholder-boundary-top-left","输入框上边框邻近边界 11×11","top-left","1395","1427","11","247","238","221","0.9301","0.8550","0.7231","0.8614","输入框上边框很细，11×11 中位数可能被背景主导。"
"input-placeholder-low-contrast","boundary11","placeholder-boundary-top-mid","输入框上边框邻近边界 11×11","top-left","1500","1427","11","247","238","221","0.9301","0.8550","0.7231","0.8614","输入框上边框很细。"
"input-placeholder-low-contrast","boundary11","placeholder-boundary-top-right","输入框上边框邻近边界 11×11","top-left","1700","1427","11","247","238","221","0.9301","0.8550","0.7231","0.8614","输入框上边框很细。"
